Date	Angle[°]	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]
2021-05-01 07:00:00	31.317413330078125	Budrio_half-right	168	DESCENDING	0.00923367840362569	3.301658388003786e-05	0.32619202285671073	0.014300876961266872	-4.865266639936997	-20.346252554035637	0.19040293800758626	0.015528936100661667
2021-05-02 07:00:00	41.84162139892578	Budrio_half-right	95	DESCENDING	0.010579733295244588	3.81760942723982e-05	0.1417046005116609	0.001999354727176541	-8.486160499332366	-19.75525280303056	0.06127597285089554	0.015671157883132225
2021-05-03 19:00:00	37.36127853393555	Budrio_half-right	117	ASCENDING	0.005126874639448501	1.1433854270613008e-05	0.03200246862352429	0.000249993245812634	-14.94816519548127	-22.90147301647054	0.03392572255807238	0.009685549512767717
2021-05-07 07:00:00	31.365468978881836	Budrio_half-right	168	DESCENDING	0.004695709169515787	8.430671136782056e-06	0.13686981551245447	0.004245102866847594	-8.63692318131613	-23.282988091168704	0.13469914774713962	0.007797318405524288
2021-05-08 07:00:00	41.31397247314453	Budrio_half-right	95	DESCENDING	0.003056853315134435	3.766791361003797e-06	0.04117916434791411	0.0005766150356962131	-13.853224708013299	-25.14725400644574	0.06081248421399709	0.005351570827639941
2021-05-09 19:00:00	37.38455581665039	Budrio_half-right	117	ASCENDING	0.0037451415358935635	5.3359598212130754e-06	0.0268698450684691	0.00016268007901930803	-15.707348377016633	-24.265317648547548	0.026293810200110602	0.006187691129428546
2021-05-13 07:00:00	31.316986083984375	Budrio_half-right	168	DESCENDING	0.009633513063010968	3.7020554588513454e-05	0.14217361985915086	0.0015142305171323893	-8.471809789397954	-20.162153093805095	0.04625485083460628	0.016689469843065075
2021-05-14 07:00:00	41.840694427490234	Budrio_half-right	95	DESCENDING	0.0046448198208696905	6.8293116467178995e-06	0.0677797782076404	0.000818002704838581	-11.68899856616308	-23.330311282407934	0.052412986629290045	0.006385462682623189
2021-05-15 19:00:00	37.360923767089844	Budrio_half-right	117	ASCENDING	0.00476824789373212	7.012707505856504e-06	0.037627449937141344	0.000562927695772627	-14.244952134036225	-23.21641174391687	0.06497288346485748	0.006387210230823825
2021-05-19 07:00:00	31.368019104003906	Budrio_half-right	168	DESCENDING	0.01782828891076857	5.435720137999683e-05	0.22702081324224463	0.008481054645410114	-6.439343249130713	-17.4889033670523	0.16224394497659028	0.013241333887503596
2021-05-20 07:00:00	41.313270568847656	Budrio_half-right	95	DESCENDING	0.01785448328736086	4.180083316198325e-05	0.2743232394745659	0.013546570729104106	-5.617373992928597	-17.482527138663293	0.21446235935499328	0.010167682194454125
2021-05-21 19:00:00	37.38489532470703	Budrio_half-right	117	ASCENDING	0.008799254411974055	6.668163302466662e-06	0.04778364046540337	0.0002804999660256177	-13.207207659756754	-20.555541254047792	0.025493994645965908	0.0032911271695363433
2021-05-25 07:00:00	31.315643310546875	Budrio_half-right	168	DESCENDING	0.0297209510019224	0.00019091889546829196	0.3568549883972479	0.04361459206709683	-4.475082279577568	-15.269372982668006	0.5307919822075148	0.027897836373936977
2021-05-26 07:00:00	41.27351379394531	Budrio_half-right	95	DESCENDING	0.028776508160255104	9.449995476543211e-05	0.2502882653497537	0.01256797633902684	-6.015595116115765	-15.409619059774894	0.2180766551361358	0.014261914151008042
2021-05-27 19:00:00	37.362396240234375	Budrio_half-right	117	ASCENDING	0.012392486902497316	3.0464427814501993e-05	0.0474757120953529	0.00041607334700877966	-13.235285124937771	-19.068415314243165	0.03806122134829806	0.010676253280132138
2021-05-31 07:00:00	31.382266998291016	Budrio_half-right	168	DESCENDING	0.01769424750831085	0.00012587554692807188	0.10937180213391412	0.0013123253376138544	-9.610946318978424	-17.52167902081975	0.05210992609317101	0.030895383040018366
2021-06-01 07:00:00	41.314388275146484	Budrio_half-right	95	DESCENDING	0.017746482664555866	9.24065963834566e-05	0.09600982690661496	0.0017256901033532736	-10.17684313284393	-17.508877108198604	0.07806051875193437	0.022613875470066585
2021-06-02 19:00:00	37.3837776184082	Budrio_half-right	117	ASCENDING	0.012968041894087469	2.8129502134093177e-05	0.060819578529948765	0.00029012830658266774	-12.159565937734678	-18.871255951412177	0.020717197592999104	0.0094204565772511
2021-06-06 07:00:00	31.3148193359375	Budrio_half-right	168	DESCENDING	0.016569372419974932	4.650275142087299e-05	0.07509206969772401	0.0007189459402652895	-11.24405925424233	-17.80693940566988	0.041580190278524665	0.012188686344605858
2021-06-07 07:00:00	41.272647857666016	Budrio_half-right	95	DESCENDING	0.026131916865017948	0.00018792821446856283	0.13035962634683623	0.0029741822651221253	-8.848568930345992	-15.828287321262398	0.09908519854762544	0.031232376468671896
2021-06-12 07:00:00	31.382963180541992	Budrio_half-right	168	DESCENDING	0.025595465692933757	0.0001616748146122736	0.13777903781906842	0.005123541211958504	-8.608168524720135	-15.918369643348143	0.1614995801523534	0.02743239005345624
2021-06-13 07:00:00	41.314273834228516	Budrio_half-right	95	DESCENDING	0.022243199383789748	0.00011238542992863925	0.0846666563277436	0.0026066718759135713	-10.722875911328448	-16.528027452018506	0.13370826969467872	0.02194305379463659
2021-06-14 19:00:00	37.3821907043457	Budrio_half-right	117	ASCENDING	0.034210821754900006	0.0003360254863250158	0.09500175607086479	0.0010395752121503433	-10.222683668707553	-14.658364937970397	0.04752351923089947	0.04265726662029357
2021-06-18 07:00:00	31.31735610961914	Budrio_half-right	168	DESCENDING	0.020131728787635788	7.535052054270601e-05	0.0803690542410212	0.0010936543286113652	-10.949111422895532	-16.961189290014328	0.05909837368511584	0.016255094445904207
2021-06-19 07:00:00	41.27482604980469	Budrio_half-right	95	DESCENDING	0.0198308383919658	9.894596789570711e-05	0.053914927649470146	0.00047373423419196195	-12.682909732506848	-17.026589246596718	0.03816014836111048	0.021669123117402496
2021-06-20 19:00:00	37.41050338745117	Budrio_half-right	117	ASCENDING	0.021303263928790245	5.9192603878895516e-05	0.05657187514873935	0.00036900359412490516	-12.473994257627997	-16.71553852069832	0.028327896911595415	0.012067174926818441
2021-06-24 07:00:00	31.382598876953125	Budrio_half-right	168	DESCENDING	0.014593273623157665	6.38841992422013e-05	0.0634958154973336	0.0008714228722534256	-11.972548946497296	-18.35847274453455	0.05960300562480964	0.019011878984896747
2021-06-25 07:00:00	41.313812255859375	Budrio_half-right	95	DESCENDING	0.020497390023619784	0.00010859537500198885	0.06253311678794188	0.0006498340512336165	-12.038899245886332	-16.883014350663014	0.04513118122044643	0.023008964589750894
