	Angle[°]	Date	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	SWC[m3/m3]	Pioggia[mm]	Irrigazione[mm]	Temperatura[°C]	VV_norm[dB]	VH_norm[dB]
30	31.317731857299805	2017-06-03 07:00:00	Budrio_half-right	168	DESCENDING	0.0083640864736877	1.6829810656524355e-05	0.1059180910338422	0.001697876247363	-9.750298551413414	-20.775814857956284	0.0696177846472677	0.008738663717309	0.22563725670163	0.0	0.0	19.9751	-10.931888110120294	-21.176438417967262
31	41.29106140136719	2017-06-04 07:00:00	Budrio_half-right	95	DESCENDING	0.0085060313237986	1.652506494023728e-05	0.0458769789623519	0.0003676165881583	-13.38405188486071	-20.70273022312351	0.0348004291704338	0.0084372420503066	0.2078211622907815	0.0	0.0	21.2364	-13.38405188486071	-20.70273022312351
32	37.5385971069336	2017-06-05 19:00:00	Budrio_half-right	117	ASCENDING	0.0102811804171179	1.2638163756489729e-05	0.0734403616546999	0.0009480068777057	-11.340651931323343	-19.879570196588297	0.0560610196515247	0.0053385745198038	0.2130239419113523	0.0	0.0	25.0	-10.648145171591555	-19.71271746346418
33	31.392635345458984	2017-06-09 07:00:00	Budrio_half-right	168	DESCENDING	0.0087844902432654	3.707053348232804e-06	0.0934799706126954	0.0012064775009013	-10.292814328089746	-20.562834351886284	0.0560512073065127	0.0018327219550306	0.1975356509605518	0.0	0.0	16.075	-11.362647144677414	-20.983126360215984
34	41.31388854980469	2017-06-10 07:00:00	Budrio_half-right	95	DESCENDING	0.0101458951587227	1.811179245668251e-05	0.063909142000593	0.0004257419241854	-11.944370129460331	-19.93709629720512	0.0289312862918552	0.0077527427577956		0.0	0.0	18.4929	-11.944370129460331	-19.93709629720512
35	37.37933349609375	2017-06-11 19:00:00	Budrio_half-right	117	ASCENDING	0.010292204707333	2.3004275455196815e-05	0.0603369658701285	0.001357659442164	-12.194165327256869	-19.87491584453432	0.0977218518585788	0.0097069871562661		0.0	0.0	27.6852	-11.415653602171798	-19.708492858407954
36	31.31869888305664	2017-06-15 07:00:00	Budrio_half-right	168	DESCENDING	0.0302981555904363	0.000139888950889	0.2948828848271044	0.011905754823061	-5.303504334192082	-15.185838085035178	0.1753443108636178	0.0200517154481662		0.0	0.0	20.9592	-7.401121142163088	-16.10268808891106
37	41.29241561889648	2017-06-16 07:00:00	Budrio_half-right	95	DESCENDING	0.0227159182023325	0.0001095804003286	0.1425061705656782	0.0030830234220742	-8.461663301494752	-16.43669703835187	0.0939566374193068	0.020950138472765		0.0	0.0	22.2402	-8.461663301494752	-16.43669703835187
38	37.53738021850586	2017-06-17 19:00:00	Budrio_half-right	117	ASCENDING	0.015735976825047	4.223677529218966e-05	0.0710426837400068	0.0010236084924448	-11.484806408181282	-18.031062926897363	0.0625747081184324	0.0116568540019635	0.209679082507275	0.0	0.0	27.8536	-10.777773806386842	-18.03488710868202
39	31.39488410949707	2017-06-21 07:00:00	Budrio_half-right	168	DESCENDING	0.0177515801891841	7.65855307884817e-05	0.1409075250911298	0.0017695907057745	-8.510658130064261	-17.507629813752274	0.0545409819843285	0.0187367395243689	0.1908731317284653	0.0	0.0	22.7455	-9.947610170094745	-18.21006563735523
40	41.3126220703125	2017-06-22 07:00:00	Budrio_half-right	95	DESCENDING	0.0194866930174604	5.976139220453912e-05	0.1131433400161	0.0016466207672717	-9.463710049384485	-17.102618564250697	0.0632046316567698	0.0133188544829191	0.1562566906098422	0.0	0.0	22.9026	-9.463710049384485	-17.102618564250697
41	37.38151550292969	2017-06-23 19:00:00	Budrio_half-right	117	ASCENDING	0.0261751637499503	7.363407661210557e-05	0.1137221458648545	0.0020411905905204	-9.441549540425113	-15.821105927254372	0.0779512031921519	0.0122172581070249	0.1943206697426617		0.0	32.5663	-8.940407363967257	-16.028980506332402
42	31.31897354125977	2017-06-27 07:00:00	Budrio_half-right	168	DESCENDING	0.0416330114804587	0.0003843213653558	0.2217696528149375	0.0090515263749751	-6.540978834200813	-13.805621737386664	0.1772572535311582	0.040090457623976	0.2768170245663929		0.0	21.5373	-8.38367933462435	-14.849932767641455
43	41.29216766357422	2017-06-28 07:00:00	Budrio_half-right	95	DESCENDING	0.0362241497692907	0.0002447790653806	0.1516013994183319	0.0025924094838717	-8.192967897537388	-14.410017992270776	0.0742650884489808	0.0293467750264159	0.2542097852304982	0.0	0.0	23.3064	-8.192967897537388	-14.410017992270776
44	37.5386848449707	2017-06-29 19:00:00	Budrio_half-right	117	ASCENDING	0.0442811410020045	0.0002780497860128	0.1140124176723884	0.0010040204810035	-9.430478448661576	-13.537811970866718	0.0382450055458553	0.0272701843329385	0.2394149951731746	0.0	0.0	26.0765	-8.930451859689613	-13.956508316618816
45	31.39379501342773	2017-07-03 07:00:00	Budrio_half-right	168	DESCENDING	0.030093126533594	9.512510999580628e-05	0.1436618610806611	0.0034137312694114	-8.426585117588653	-15.21532688772098	0.1031982073637173	0.0137281549378061	0.1703401443390764	0.0	0.0	20.3082	-9.880855964515378	-16.129453642402325
46	41.31488800048828	2017-07-04 07:00:00	Budrio_half-right	95	DESCENDING	0.0312214625289524	0.0001793849838801	0.1119469156893822	0.001849513164493	-9.509878674045956	-15.055467568348888	0.0717512721632706	0.0249526775253382	0.1425480244577403	0.0	0.0	20.6101	-9.509878674045956	-15.055467568348888
47	37.37960052490234	2017-07-05 19:00:00	Budrio_half-right	117	ASCENDING	0.0287168210494681	0.0002291783724906	0.1403926031052958	0.0022296910898456	-8.526557733684553	-15.418636381444866	0.0689738999954695	0.0346594431092493	0.279434451064226	0.0	0.0	29.8123	-8.11761544420233	-15.663671896565624
48	31.31965065002441	2017-07-09 07:00:00	Budrio_half-right	168	DESCENDING	0.0325627557619901	0.0002997493812635	0.1353152092149267	0.0058349319572922	-8.686533866478207	-14.872788482060042	0.1872722782631164	0.0399780360078177	0.1146882497657819	0.0	0.0	24.1695	-10.087255993638955	-15.81854817373284
