Date	Angle[°]	Geometry	Orb	Pass	VV_norm[dB]	VH_norm[dB]
2018-04-29 07:00:00	31.367830276489258	Budrio_half-right	168	DESCENDING	-14.07887050166676	-24.549229218128655
2018-04-30 07:00:00	41.31529235839844	Budrio_half-right	95	DESCENDING	-13.19521127431059	-25.338827593544742
2018-05-01 19:00:00	37.37955093383789	Budrio_half-right	117	ASCENDING	-13.453670304222861	-23.205220269381506
2018-05-05 07:00:00	31.319854736328125	Budrio_half-right	168	DESCENDING	-9.024848401012166	-20.595296880334097
2018-05-06 07:00:00	41.102542877197266	Budrio_half-right	95	DESCENDING	-11.07474960684566	-21.488095069733756
2018-05-07 19:00:00	37.537933349609375	Budrio_half-right	117	ASCENDING	-12.767208015932937	-24.38119333696087
2018-05-11 07:00:00	31.366413116455078	Budrio_half-right	168	DESCENDING	-12.897309245100464	-22.369498604187743
2018-05-12 07:00:00	41.31355285644531	Budrio_half-right	95	DESCENDING	-12.44697113307485	-19.841332642251437
2018-05-13 19:00:00	37.37999725341797	Budrio_half-right	117	ASCENDING	-11.064159442596521	-21.72045490822777
2018-05-17 07:00:00	31.318941116333008	Budrio_half-right	168	DESCENDING	-12.304613186569537	-19.48493721581697
2018-05-18 07:00:00	41.10115432739258	Budrio_half-right	95	DESCENDING	-8.92663999061982	-18.318391293387265
2018-05-19 19:00:00	37.537811279296875	Budrio_half-right	117	ASCENDING	-10.742080817722613	-20.41428310334536
2018-05-23 07:00:00	31.367528915405273	Budrio_half-right	168	DESCENDING	-8.40925777211755	-15.292428109451679
2018-05-24 07:00:00	41.31303024291992	Budrio_half-right	95	DESCENDING	-8.184022903484172	-15.485955292387843
2018-05-25 19:00:00	37.38075256347656	Budrio_half-right	117	ASCENDING	-10.675747405549725	-18.462782814387705
2018-05-29 07:00:00	31.31856918334961	Budrio_half-right	168	DESCENDING	-12.184480297710666	-19.409330992404218
2018-05-30 07:00:00	41.291812896728516	Budrio_half-right	95	DESCENDING	-11.203343950155302	-18.026356853856516
2018-05-31 19:00:00	37.5396614074707	Budrio_half-right	117	ASCENDING	-8.630041038107757	-12.797033314623754
2018-06-04 07:00:00	31.39204978942871	Budrio_half-right	168	DESCENDING	-11.319910974206419	-14.823758260202377
2018-06-05 07:00:00	41.31345748901367	Budrio_half-right	95	DESCENDING	-9.81897924392775	-15.388824269943711
2018-06-06 19:00:00	37.379722595214844	Budrio_half-right	117	ASCENDING	-9.433187063216813	-15.71369900718782
2018-06-10 07:00:00	31.318891525268555	Budrio_half-right	168	DESCENDING	-11.6988401058658	-16.391251390018635
2018-06-11 07:00:00	41.29485321044922	Budrio_half-right	95	DESCENDING	-13.035331711899744	-17.277743271005647
2018-06-12 19:00:00	37.53740310668945	Budrio_half-right	117	ASCENDING	-11.021120452078367	-19.135958524022477
2018-06-16 07:00:00	31.39459800720215	Budrio_half-right	168	DESCENDING	-11.40637595823886	-16.701066219105684
2018-06-17 07:00:00	41.31612014770508	Budrio_half-right	95	DESCENDING	-11.080237209819648	-16.827374586915905
2018-06-18 19:00:00	37.37797164916992	Budrio_half-right	117	ASCENDING	-11.876380568688843	-16.97520068368484
2018-06-22 07:00:00	31.318119049072266	Budrio_half-right	168	DESCENDING	-13.634053888541224	-19.34435046510312
2018-06-23 07:00:00	41.29456329345703	Budrio_half-right	95	DESCENDING	-12.754699745683812	-19.353837800018344
2018-06-24 19:00:00	37.53942108154297	Budrio_half-right	117	ASCENDING	-12.966629934786576	-19.0548342456967
2018-06-28 07:00:00	31.392492294311523	Budrio_half-right	168	DESCENDING	-13.519229864997328	-19.57955012247336
2018-06-29 07:00:00	41.31387710571289	Budrio_half-right	95	DESCENDING	-13.0549923562122	-17.73598059831691
2018-06-30 19:00:00	37.38021469116211	Budrio_half-right	117	ASCENDING	-12.431534316680546	-17.82900362555488
2018-07-04 07:00:00	31.31941795349121	Budrio_half-right	168	DESCENDING	-13.525524663014464	-18.26914550178256
2018-07-05 07:00:00	41.29692840576172	Budrio_half-right	95	DESCENDING	-11.493614155610727	-17.816282038717922
2018-07-06 19:00:00	37.538543701171875	Budrio_half-right	117	ASCENDING	-10.892521442044355	-16.4801220044929
2018-07-10 07:00:00	31.41213607788086	Budrio_half-right	168	DESCENDING	-14.129419959801638	-19.105270720631605
2018-07-11 07:00:00	41.314754486083984	Budrio_half-right	95	DESCENDING	-11.266061845843156	-16.80310019404896
2018-07-12 19:00:00	37.38095474243164	Budrio_half-right	117	ASCENDING	-10.565687931233374	-16.840951522832505
2018-07-16 07:00:00	31.319013595581055	Budrio_half-right	168	DESCENDING	-13.575692213643848	-18.745648880554906
2018-07-17 07:00:00	41.27543258666992	Budrio_half-right	95	DESCENDING	-9.134347579939396	-16.843618931818106
2018-07-18 19:00:00	37.53706741333008	Budrio_half-right	117	ASCENDING	-11.362417401950013	-17.887059741790214
2018-07-22 07:00:00	31.414472579956055	Budrio_half-right	168	DESCENDING	-11.304581802438978	-17.088941012585895
2018-07-23 07:00:00	41.314903259277344	Budrio_half-right	95	DESCENDING	-11.252581377695325	-14.489725251041069
2018-07-24 19:00:00	37.379730224609375	Budrio_half-right	117	ASCENDING	-11.649876048977637	-16.236442235398485
2018-07-28 07:00:00	31.320302963256836	Budrio_half-right	168	DESCENDING	-13.15591298645776	-19.179039088473
2018-07-29 07:00:00	41.272891998291016	Budrio_half-right	95	DESCENDING	-11.941632057068736	-17.586381955282615
2018-07-30 19:00:00	37.539859771728516	Budrio_half-right	117	ASCENDING	-12.50478339364039	-18.078731689968926
2018-08-03 07:00:00	31.41040802001953	Budrio_half-right	168	DESCENDING	-13.353560795040575	-18.427647583213272
2018-08-04 07:00:00	41.31298065185547	Budrio_half-right	95	DESCENDING	-12.659959366207596	-18.11216761868814
2018-08-05 19:00:00	37.380897521972656	Budrio_half-right	117	ASCENDING	-11.779313112025973	-18.121027209036555
2018-08-09 07:00:00	31.318130493164062	Budrio_half-right	168	DESCENDING	-13.539358693136156	-20.474496767256927
2018-08-10 07:00:00	41.272132873535156	Budrio_half-right	95	DESCENDING	-10.577069553602115	-19.905889989680972
2018-08-11 19:00:00	37.53805160522461	Budrio_half-right	117	ASCENDING	-11.598027685567608	-17.861021344784767
2018-08-15 07:00:00	31.411312103271484	Budrio_half-right	168	DESCENDING	-13.135027539775386	-18.012524655004665
2018-08-16 07:00:00	41.31490707397461	Budrio_half-right	95	DESCENDING	-13.43849236310685	-17.628782712259465
2018-08-17 19:00:00	37.378997802734375	Budrio_half-right	117	ASCENDING	-11.855366047061406	-18.95653280830945
2018-08-21 07:00:00	31.32061004638672	Budrio_half-right	168	DESCENDING	-13.14544606504952	-18.58752279834693
2018-08-22 07:00:00	41.27436447143555	Budrio_half-right	95	DESCENDING	-13.449625375118536	-19.18515776479036
2018-08-23 19:00:00	37.537315368652344	Budrio_half-right	117	ASCENDING	-11.319070617538904	-18.423295443812382
2018-08-27 07:00:00	31.412809371948242	Budrio_half-right	168	DESCENDING	-9.294807229580762	-16.185336620429332
2018-08-28 07:00:00	41.31485366821289	Budrio_half-right	95	DESCENDING	-11.641161950166135	-17.039265837114037
2018-08-29 19:00:00	37.37905502319336	Budrio_half-right	117	ASCENDING	-9.857467780415842	-15.598491303781785
2018-09-02 07:00:00	31.31987953186035	Budrio_half-right	168	DESCENDING	-8.908097177130262	-15.249146245977045
2018-09-03 07:00:00	41.27399826049805	Budrio_half-right	95	DESCENDING	-7.828884414126832	-14.340006649926679
2018-09-04 19:00:00	37.53753662109375	Budrio_half-right	117	ASCENDING	-11.78005643313764	-20.121245649344285
2018-09-08 07:00:00	31.41206169128418	Budrio_half-right	168	DESCENDING	-5.758444782376566	-14.228357982523477
2018-09-09 07:00:00	41.31507110595703	Budrio_half-right	95	DESCENDING	-5.89560337127049	-15.519876840832953
2018-09-10 19:00:00	37.37844467163086	Budrio_half-right	117	ASCENDING	-8.86937598317339	-20.415982539333683
2018-09-14 07:00:00	31.31858253479004	Budrio_half-right	168	DESCENDING	-9.33459109596025	-21.210409721097726
2018-09-15 07:00:00	41.273033142089844	Budrio_half-right	95	DESCENDING	-10.206609672068595	-20.413205623365403
2018-09-16 19:00:00	37.5380973815918	Budrio_half-right	117	ASCENDING	-10.315066426630754	-21.976925635124513
2018-09-20 07:00:00	31.410078048706055	Budrio_half-right	168	DESCENDING	-9.618686581554176	-22.031385384268752
2018-09-21 07:00:00	41.31279373168945	Budrio_half-right	95	DESCENDING	-9.406109491791234	-20.563763394283324
2018-09-22 19:00:00	37.37937927246094	Budrio_half-right	117	ASCENDING	-10.727658419105161	-18.669353976911847
2018-09-26 07:00:00	31.316997528076172	Budrio_half-right	168	DESCENDING	-11.128287182320852	-19.533201657868187
2018-09-27 07:00:00	41.29210662841797	Budrio_half-right	95	DESCENDING	-9.868338572925438	-19.926940890594896
2018-09-28 19:00:00	37.53664779663086	Budrio_half-right	117	ASCENDING	-9.467527799581456	-18.917024520139304
2018-10-02 07:00:00	31.406578063964844	Budrio_half-right	168	DESCENDING	-9.047235747576238	-19.094851276879584
2018-10-03 07:00:00	41.310813903808594	Budrio_half-right	95	DESCENDING	-10.01895046654469	-19.238443791995806
2018-10-04 19:00:00	37.37698745727539	Budrio_half-right	117	ASCENDING	-10.12123773661766	-18.368881166649615
2018-10-08 07:00:00	31.313426971435547	Budrio_half-right	168	DESCENDING	-9.572212939832879	-18.023557705316364
2018-10-09 07:00:00	41.751059009089076	Budrio_half-right	95	DESCENDING	-9.218501865485509	-20.43113169001441
2018-10-10 19:00:00	37.53485107421875	Budrio_half-right	117	ASCENDING	-11.034344322173663	-20.370953606617135
2018-10-14 07:00:00	31.405948638916016	Budrio_half-right	168	DESCENDING	-10.848731388194793	-20.4820038689782
2018-10-15 07:00:00	41.30854034423828	Budrio_half-right	95	DESCENDING	-9.780909265450626	-19.81985391794102
2018-10-16 19:00:00	37.37523651123047	Budrio_half-right	117	ASCENDING	-8.40183562011863	-18.047511656652098
2018-10-20 07:00:00	31.31203842163086	Budrio_half-right	168	DESCENDING	-9.275260071058854	-21.533891473447966
2018-10-21 07:00:00	41.2745246887207	Budrio_half-right	95	DESCENDING	-10.003267128391345	-22.065379940590706
2018-10-22 19:00:00	37.532798767089844	Budrio_half-right	117	ASCENDING	-10.863991864208577	-22.579321491494436
2018-10-26 07:00:00	31.40441131591797	Budrio_half-right	168	DESCENDING	-8.683196770470474	-22.82459827832605
2018-10-27 07:00:00	41.30712127685547	Budrio_half-right	95	DESCENDING	-10.767962168811492	-22.337848192614462
2018-10-28 18:00:00	37.3726806640625	Budrio_half-right	117	ASCENDING	-8.797489653295862	-19.432645925678212
2018-11-01 06:00:00	31.31064224243164	Budrio_half-right	168	DESCENDING	-3.582403999021021	-15.438737149455225
2018-11-02 06:00:00	41.273441314697266	Budrio_half-right	95	DESCENDING	-5.122616913434905	-14.412928538519862
2018-11-03 18:00:00	37.53105545043945	Budrio_half-right	117	ASCENDING	-6.093659676277606	-14.193295506878435
2018-11-07 06:00:00	31.376996994018555	Budrio_half-right	168	DESCENDING	-4.342774179848563	-16.581665346351638
2018-11-08 06:00:00	41.30602264404297	Budrio_half-right	95	DESCENDING	-5.243912795746177	-15.863588897056838
2018-11-09 18:00:00	37.37049102783203	Budrio_half-right	117	ASCENDING	-6.468825773419278	-13.830449970924867
2018-11-13 06:00:00	31.30990982055664	Budrio_half-right	168	DESCENDING	-4.546655269947454	-17.4104943457539
2018-11-14 06:00:00	41.27265548706055	Budrio_half-right	95	DESCENDING	-5.853483598415306	-16.276431548728205
2018-11-15 18:00:00	37.53011703491211	Budrio_half-right	117	ASCENDING	-6.715465132839438	-15.159008398305028
2018-11-19 06:00:00	31.37662696838379	Budrio_half-right	168	DESCENDING	-5.225746110870634	-18.06784811389569
2018-11-20 06:00:00	41.305938720703125	Budrio_half-right	95	DESCENDING	-5.465582620470011	-14.453192316088694
2018-11-21 18:00:00	37.37070846557617	Budrio_half-right	117	ASCENDING	-6.071835411993343	-13.614537380509809
2018-11-25 06:00:00	31.309907913208008	Budrio_half-right	168	DESCENDING	-4.5000578742875925	-15.98620639390732
2018-11-27 18:00:00	37.528804779052734	Budrio_half-right	117	ASCENDING	-6.629898676728208	-14.650426883806716
2018-12-01 06:00:00	31.35761260986328	Budrio_half-right	168	DESCENDING	-4.8730129943188105	-16.60008734642926
2018-12-02 06:00:00	41.305564880371094	Budrio_half-right	95	DESCENDING	-6.490081166779179	-15.963815031504119
2018-12-03 18:00:00	37.36945724487305	Budrio_half-right	117	ASCENDING	-6.5497244855001	-14.822424888626252
2018-12-07 06:00:00	31.309181213378906	Budrio_half-right	168	DESCENDING	-5.030453539743047	-17.22407386944902
2018-12-08 06:00:00	41.09504318237305	Budrio_half-right	95	DESCENDING	-6.713087477149697	-16.84629012489722
2018-12-09 18:00:00	37.52946853637695	Budrio_half-right	117	ASCENDING	-6.867285331890115	-15.598838245883417
2018-12-13 06:00:00	31.35686683654785	Budrio_half-right	168	DESCENDING	-7.135488738308202	-20.855923964765722
2018-12-14 06:00:00	41.30467224121094	Budrio_half-right	95	DESCENDING	-8.438011988622172	-18.009623107786826
2018-12-15 18:00:00	37.36930847167969	Budrio_half-right	117	ASCENDING	-10.648367626565122	-19.974377143621567
2018-12-19 06:00:00	31.308231353759766	Budrio_half-right	168	DESCENDING	-7.89239029570184	-19.65683529905536
2018-12-20 06:00:00	41.094581604003906	Budrio_half-right	95	DESCENDING	-7.279686356948487	-18.003293354511875
2018-12-25 06:00:00	31.357078552246094	Budrio_half-right	168	DESCENDING	-6.967799448570052	-19.60178068512557
2018-12-26 06:00:00	41.304901123046875	Budrio_half-right	95	DESCENDING	-8.971125126382418	-17.50098636280406
2018-12-27 18:00:00	37.3685302734375	Budrio_half-right	117	ASCENDING	-7.764801268076498	-16.90237865354206
2018-12-31 06:00:00	31.30910873413086	Budrio_half-right	168	DESCENDING	-9.988731027109177	-22.320772807513173
2019-01-01 06:00:00	41.09523391723633	Budrio_half-right	95	DESCENDING	-10.013093098907964	-23.87793647570782
2019-01-02 18:00:00	37.52791976928711	Budrio_half-right	117	ASCENDING	-10.136297958932156	-19.87866904651111
2019-01-06 06:00:00	31.357059478759766	Budrio_half-right	168	DESCENDING	-12.536850211764103	-26.247510044843473
2019-01-07 06:00:00	41.305938720703125	Budrio_half-right	95	DESCENDING	-13.088616104838557	-25.566503185892564
2019-01-08 18:00:00	37.370452880859375	Budrio_half-right	117	ASCENDING	-10.713899739056293	-20.873662657984912
2019-01-12 06:00:00	31.3095703125	Budrio_half-right	168	DESCENDING	-13.50392202483726	-25.452605660972946
2019-01-13 06:00:00	41.09529113769531	Budrio_half-right	95	DESCENDING	-13.280033689911207	-28.76308843234756
2019-01-14 18:00:00	37.5283203125	Budrio_half-right	117	ASCENDING	-14.423998606092201	-26.44643374041681
2019-01-18 06:00:00	31.357885360717773	Budrio_half-right	168	DESCENDING	-8.785240235682354	-21.900971772396435
2019-01-19 06:00:00	41.305908203125	Budrio_half-right	95	DESCENDING	-6.730159340753232	-17.353691827233785
2019-01-20 18:00:00	37.37043762207031	Budrio_half-right	117	ASCENDING	-9.54445088704164	-20.405156571954656
2019-01-24 06:00:00	31.30959701538086	Budrio_half-right	168	DESCENDING	-6.133355399632672	-18.8889991274218
2019-01-25 06:00:00	41.0958366394043	Budrio_half-right	95	DESCENDING	-11.00955349237941	-24.86799616715183
2019-01-26 18:00:00	37.52913284301758	Budrio_half-right	117	ASCENDING	-11.288892420352113	-22.757932213732435
2019-01-30 06:00:00	31.3588924407959	Budrio_half-right	168	DESCENDING	-10.231389299760437	-25.321375239829273
2019-01-31 06:00:00	41.30645751953125	Budrio_half-right	95	DESCENDING	-7.5963995444560295	-19.57438863235387
2019-02-01 18:00:00	37.370662689208984	Budrio_half-right	117	ASCENDING	-8.744741378752467	-18.191124612706833
2019-02-05 06:00:00	31.309673309326172	Budrio_half-right	168	DESCENDING	-10.135552974653246	-21.799101449223905
2019-02-06 06:00:00	41.09686279296875	Budrio_half-right	95	DESCENDING	-10.832511305220859	-24.92155763325496
2019-02-07 18:00:00	37.52991485595703	Budrio_half-right	117	ASCENDING	-10.22108942925021	-20.23260341556088
2019-02-11 06:00:00	31.36017608642578	Budrio_half-right	168	DESCENDING	-10.743939161767475	-22.616401994005166
2019-02-12 06:00:00	41.30682373046875	Budrio_half-right	95	DESCENDING	-13.79169388207332	-24.571842395132833
2019-02-13 18:00:00	37.370582580566406	Budrio_half-right	117	ASCENDING	-13.410689666179941	-24.1450909236258
2019-02-17 06:00:00	31.3120059967041	Budrio_half-right	168	DESCENDING	-11.640811008673733	-25.445499370277506
2019-02-18 06:00:00	41.09894943237305	Budrio_half-right	95	DESCENDING	-13.096960069724712	-28.99639059371577
2019-02-19 18:00:00	37.53049850463867	Budrio_half-right	117	ASCENDING	-14.251679266230365	-24.810760745861955
2019-02-23 06:00:00	31.36212921142578	Budrio_half-right	168	DESCENDING	-10.716811760218828	-24.58473641785848
2019-02-24 06:00:00	41.3082160949707	Budrio_half-right	95	DESCENDING	-13.388824997671785	-27.459839599107152
2019-02-25 18:00:00	37.37102508544922	Budrio_half-right	117	ASCENDING	-13.45864312748643	-25.139881236789876
2019-03-01 06:00:00	31.31410026550293	Budrio_half-right	168	DESCENDING	-11.045716011712935	-22.172800594119188
2019-03-02 06:00:00	41.1007194519043	Budrio_half-right	95	DESCENDING	-11.339543942774755	-24.354638681588977
2019-03-03 18:00:00	37.53189468383789	Budrio_half-right	117	ASCENDING	-11.818035087283969	-22.037021876550362
2019-03-07 06:00:00	31.364269256591797	Budrio_half-right	168	DESCENDING	-11.168899546701986	-22.42648884584502
2019-03-08 06:00:00	41.311134338378906	Budrio_half-right	95	DESCENDING	-11.492386279083215	-22.231784970520824
2019-03-09 18:00:00	37.37168502807617	Budrio_half-right	117	ASCENDING	-11.180621530626718	-21.48346393850584
2019-03-13 06:00:00	31.31753921508789	Budrio_half-right	168	DESCENDING	-11.055849014708901	-21.929339456440804
2019-03-14 06:00:00	41.10282516479492	Budrio_half-right	95	DESCENDING	-10.531478973311902	-23.372586909121885
2019-03-15 18:00:00	37.53266906738281	Budrio_half-right	117	ASCENDING	-10.898233245634312	-21.16125604175827
2019-03-19 06:00:00	31.36688995361328	Budrio_half-right	168	DESCENDING	-11.258552149654708	-22.76682522595556
2019-03-20 06:00:00	41.31369400024414	Budrio_half-right	95	DESCENDING	-10.937667097888532	-20.803122094888952
2019-03-21 18:00:00	37.37343215942383	Budrio_half-right	117	ASCENDING	-11.110603084870515	-20.382135923340158
2019-03-25 06:00:00	31.31934928894043	Budrio_half-right	168	DESCENDING	-11.308776553567457	-21.057641658659787
2019-03-26 06:00:00	41.103614807128906	Budrio_half-right	95	DESCENDING	-5.178893365556984	-15.58950197260276
2019-03-27 18:00:00	37.533172607421875	Budrio_half-right	117	ASCENDING	-12.276507796737905	-24.428303593387923
2019-03-31 07:00:00	31.367847442626953	Budrio_half-right	168	DESCENDING	-10.411469827443522	-22.625835670350693
2019-04-01 07:00:00	41.316375732421875	Budrio_half-right	95	DESCENDING	-9.559680388656478	-23.116679602693765
2019-04-02 19:00:00	37.37485885620117	Budrio_half-right	117	ASCENDING	-11.050658682079977	-21.862137598861153
2019-04-06 07:00:00	31.322816848754883	Budrio_half-right	168	DESCENDING	-3.805204878725144	-15.533893348086126
2019-04-07 07:00:00	41.106346130371094	Budrio_half-right	95	DESCENDING	-6.353197474046718	-17.13843757696458
2019-04-08 19:00:00	37.5342903137207	Budrio_half-right	117	ASCENDING	-7.682865050266178	-19.622714856755277
2019-04-12 07:00:00	31.36618995666504	Budrio_half-right	168	DESCENDING	-5.900516355155771	-18.144358636945864
2019-04-13 07:00:00	41.31369400024414	Budrio_half-right	95	DESCENDING	-5.547633191525848	-16.340027020803127
2019-04-14 19:00:00	37.38032150268555	Budrio_half-right	117	ASCENDING	-7.847761975895962	-19.570134626040858
2019-04-19 07:00:00	41.10222625732422	Budrio_half-right	95	DESCENDING	-9.853131710156722	-21.10739087396808
2019-04-20 19:00:00	37.539154052734375	Budrio_half-right	117	ASCENDING	-10.978084592484581	-21.851909860771247
2019-04-24 07:00:00	31.364240646362305	Budrio_half-right	168	DESCENDING	-5.808997994157753	-16.09320323102204
2019-04-25 07:00:00	41.31291198730469	Budrio_half-right	95	DESCENDING	-7.309011519472895	-17.77679924811602
2019-04-26 19:00:00	37.38008117675781	Budrio_half-right	117	ASCENDING	-9.411095264473026	-20.577612357337486
2019-04-30 07:00:00	31.318811416625977	Budrio_half-right	168	DESCENDING	-5.552223781550479	-15.08214666156138
