Date	Angle[°]	Geometry	Orb	Pass	VH[lin]	VH_var[lin]	VV[lin]	VV_var[lin]	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	VV_norm[dB]	VH_norm[dB]
2019-10-03 07:00:00	31.314476013183597	Budrio_half-right	168	DESCENDING	0.0413635607846496	0.0002604641752562	0.3911044369254028	0.0160597966332885	-4.077072571205134	-13.833820820378936	0.1783329566178244	0.0273472960019512	-6.119706754289967	-14.89095387613602
2019-10-04 07:00:00	41.26935577392578	Budrio_half-right	95	DESCENDING	0.0277229162953528	0.0002268627354379	0.1788935954613344	0.0042836924369059	-7.474052072559372	-15.571610863127196	0.1039938843378581	0.035539274836934	-7.474052072559372	-15.571610863127196
2019-10-05 19:00:00	37.535640716552734	Budrio_half-right	117	ASCENDING	0.0261859043801162	0.0001027171917081	0.3072180154865924	0.0119244308997675	-5.125533205513064	-15.81932422315809	0.1685680617200556	0.0170356955818268	-5.058845100030762	-16.18693335066451
2019-10-09 07:00:00	31.380592346191406	Budrio_half-right	168	DESCENDING	0.0261025010010602	7.912849212382596e-05	0.3033461099288652	0.015217005920635	-5.180615700202809	-15.833178789098987	0.2178587918589309	0.0131654309636102	-7.122706702749069	-16.814858081960743
2019-10-10 07:00:00	41.30903625488281	Budrio_half-right	95	DESCENDING	0.0108316736624741	3.508681388311882e-05	0.140628950549309	0.0020046784768033	-8.519252641700454	-19.653044329205308	0.061909073278665	0.0140680102926256	-8.519252641700454	-19.653044329205308
2019-10-11 19:00:00	37.37590408325195	Budrio_half-right	117	ASCENDING	0.0097886174829301	2.437640400249414e-05	0.1045322803269084	0.0016459770307286	-9.807495755527636	-20.09278642408645	0.0683844970710882	0.0108151511338437	-9.350313256182336	-20.44496087798992
2019-10-15 07:00:00	31.312774658203125	Budrio_half-right	168	DESCENDING	0.0122146709416424	3.853737326641752e-05	0.1559915912044625	0.0078077372701432	-8.068988118502054	-19.131182282528737	0.2173743588607347	0.0137020216398892	-9.747921169279387	-19.988398233900668
2019-10-16 07:00:00	41.26766204833984	Budrio_half-right	95	DESCENDING	0.0228347468743519	9.612784224797949e-05	0.2163037175686231	0.0097645541821414	-6.649360163645847	-16.414037982317765	0.1960526636905346	0.0182825724652349	-6.649360163645847	-16.414037982317765
2019-10-17 19:00:00	37.53391647338867	Budrio_half-right	117	ASCENDING	0.0100471360150024	3.630508541852173e-05	0.1141169063395929	0.002169459545147	-9.426500103925918	-19.97957718357057	0.082563078459725	0.0156931271147785	-9.001094165039477	-20.33216052085572
2019-10-21 07:00:00	31.37850570678711	Budrio_half-right	168	DESCENDING	0.0099418124506206	2.4919312197474808e-05	0.1306306534922698	0.0027666100425018	-8.839549005459034	-20.025344339579156	0.0919786775090879	0.0108856607725607	-10.448276696484232	-20.84881551242807
